state_id,state_name,state_description
1,Johor,Southern gateway of Malaysia
2,Kedah,Rice bowl of Malaysia
3,Kelantan,Cultural heritage
4,Melaka,Historic city
5,Negeri Sembilan,Minangkabau heritage
6,Pahang,Largest peninsula state
7,Penang,Food paradise
8,Perak,Tin mining heritage
9,Perlis,Smallest state
10,Sabah,Land below the wind
11,Sarawak,Borneo rainforest
12,Selangor,Developed state
13,Terengganu,East coast beaches
14,Kuala Lumpur,Federal Territory
15,Putrajaya,Administrative capital
16,Labuan,Island Federal Territory
